	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
ENSDARG00000102558.6	1.1727828135111e-20	-1.38577457207268	0.717	0.706	2.57648656300254e-16	8	ENSDARG00000102558
ENSDARG00000017441.5	1.78368402560806e-17	-1.34195897866558	0.573	0.6	3.91857543585834e-13	8	ENSDARG00000017441
ENSDARG00000056765.4	2.75456225408992e-17	-1.05813628603004	0.675	0.675	6.05149781601014e-13	8	ENSDARG00000056765
ENSDARG00000055455.4	1.93266577399197e-16	-1.28503416787769	0.092	0.216	4.24587343888296e-12	8	ENSDARG00000055455
ENSDARG00000004621.4	1.01163855484728e-15	-1.38015280761971	0.089	0.21	2.22246874114398e-11	8	ENSDARG00000004621
ENSDARG00000006497.3	6.81871203373909e-14	-1.18354869792108	0.109	0.219	1.49800284669214e-09	8	ENSDARG00000006497
ENSDARG00000019702	7.65631741165168e-14	-1.03387985409523	0.102	0.216	1.68201637216576e-09	8	ENSDARG00000019702
ENSDARG00000033655.4	2.29198938179474e-13	-1.27179178345502	0.179	0.282	5.03527147286487e-09	8	ENSDARG00000033655
ENSDARG00000041623.2	2.79513260434003e-13	-1.41750693196869	0.166	0.275	6.14062681847462e-09	8	ENSDARG00000041623
ENSDARG00000056744.4	1.551431256162e-12	-1.0177120349599	0.607	0.603	3.4083393266623e-08	8	ENSDARG00000056744
ENSDARG00000044684.6	3.00921587102157e-12	-1.47411645839139	0.396	0.464	6.61094634704729e-08	8	ENSDARG00000044684
ENSDARG00000053254.5	2.0292044023361e-11	-1.39480230005127	0.571	0.575	4.45795915149218e-07	8	ENSDARG00000053254
ENSDARG00000007276.4	2.94520469574548e-11	-1.02059945850195	0.561	0.565	6.47032019608323e-07	8	ENSDARG00000007276
ENSDARG00000007697.4	3.59280527493074e-11	-1.50987440085289	0.27	0.348	7.89303390849534e-07	8	ENSDARG00000007697
ENSDARG00000060350.4	4.44073762467603e-11	-1.00669990677392	0.573	0.577	9.75585648765076e-07	8	ENSDARG00000060350
ENSDARG00000103543.5	4.66298791019217e-11	-1.31759323335021	0.478	0.509	1.02441181399012e-06	8	ENSDARG00000103543
ENSDARG00000043457.5	4.8656830267171e-11	-1.23791958156542	0.203	0.294	1.06894190413948e-06	8	ENSDARG00000043457
ENSDARG00000015866.5	7.27803492984778e-11	-1.76347259733496	0.579	0.58	1.59891149373826e-06	8	ENSDARG00000015866
ENSDARG00000055216.2	1.94459232358301e-10	-1.07955455556796	0.205	0.29	4.27207487567952e-06	8	ENSDARG00000055216
ENSDARG00000068680.5	4.23043557555337e-10	-1.08054086346493	0.5	0.521	9.2938439159332e-06	8	ENSDARG00000068680
ENSDARG00000093844.4	5.64443786962222e-10	-1.00128086778885	0.474	0.507	1.24002655557731e-05	8	ENSDARG00000093844
ENSDARG00000033683.5	9.7816129063405e-10	-1.22725895466866	0.477	0.497	2.14892253939394e-05	8	ENSDARG00000033683
ENSDARG00000011640.4	7.18298020372746e-09	-1.07410747333357	0.042	0.111	0.000157802892095689	8	ENSDARG00000011640
ENSDARG00000027236.4	1.06251318797013e-08	-1.62118090748023	0.05	0.121	0.000233423522265157	8	ENSDARG00000027236
ENSDARG00000092947.5	1.23307631678254e-08	-1.56356718215842	0.489	0.501	0.000270894536033957	8	ENSDARG00000092947
ENSDARG00000058117.2	3.23787610380267e-08	-1.01616191483668	0.087	0.16	0.000711329001244407	8	ENSDARG00000058117
ENSDARG00000029069.4	5.15766627152477e-08	-1.1492847057988	0.359	0.404	0.00113308770319128	8	ENSDARG00000029069
ENSDARG00000101324.5	5.64372114798503e-08	-1.83367143513312	0.435	0.459	0.00123986909900083	8	ENSDARG00000101324
ENSDARG00000001950	2.01642882309492e-07	-1.07095702914375	0.325	0.373	0.00442989248145722	8	ENSDARG00000001950
ENSDARG00000036577.3	7.65134364220892e-07	-1.01422626621622	0.109	0.173	0.0168092368475688	8	ENSDARG00000036577
ENSDARG00000102975.2	7.69012022713494e-07	-1.00938246946398	0.056	0.115	0.0168944251269928	8	ENSDARG00000102975
