ENSDARG00000069630	tat
ENSDARG00000013371	isoc2
ENSDARG00000023820	faxdc2
ENSDARG00000059049	unknown
ENSDARG00000068710	nid1a
ENSDARG00000013561	pgm1
ENSDARG00000045888	acat1
ENSDARG00000038881	acaa2
ENSDARG00000078619	unknown
ENSDARG00000102076	unknown
ENSDARG00000038312	rcl1
ENSDARG00000038439	fabp10a
ENSDARG00000005423	unknown
ENSDARG00000070844	gamt
ENSDARG00000098589	cyb5a
ENSDARG00000018146	gpx1a
ENSDARG00000055876	msmo1
ENSDARG00000101324	apoa1b
ENSDARG00000052712	suclg1
ENSDARG00000094557	nupr1b
ENSDARG00000101074	glud1b
ENSDARG00000043457	gapdh
ENSDARG00000022165	mgst1.2
ENSDARG00000015866	apoa2
ENSDARG00000087693	unknown
ENSDARG00000000069	dap
ENSDARG00000039007	eno3
ENSDARG00000053485	aldh6a1
ENSDARG00000005191	ahcy
ENSDARG00000013430	bhmt
ENSDARG00000105116	unknown
ENSDARG00000053684	aldob
ENSDARG00000101199	rbp4
ENSDARG00000043848	sod1
ENSDARG00000020239	lpin1
ENSDARG00000101479	unknown
ENSDARG00000023290	fabp3
ENSDARG00000059057	atpv0e2
ENSDARG00000104458	unknown
ENSDARG00000097057	fxyd6l
ENSDARG00000003795	idh2
ENSDARG00000020708	mdkb
ENSDARG00000036577	atp6v0cb
ENSDARG00000032705	foxg1b
ENSDARG00000017673	nova2
ENSDARG00000039034	marcksl1a
ENSDARG00000028618	krt18b
ENSDARG00000004588	unknown
ENSDARG00000100003	glulb
ENSDARG00000102975	nsg2
ENSDARG00000058117	snap25b
ENSDARG00000023062	ccn1
ENSDARG00000015314	zc4h2
ENSDARG00000087402	tpm1
ENSDARG00000022456	eno1a
ENSDARG00000011665	aldoaa
ENSDARG00000001889	tuba1a
ENSDARG00000026865	fam107b
ENSDARG00000055455	gpm6aa
ENSDARG00000020007	col1a2
ENSDARG00000105223	pmp22a
ENSDARG00000054804	anp32e
ENSDARG00000002589	mylpfb
ENSDARG00000044935	hpdb
ENSDARG00000004169	stmn1a
ENSDARG00000056725	hmgb3a
ENSDARG00000036036	mdka
ENSDARG00000019353	sparc
ENSDARG00000055216	tuba1c
ENSDARG00000003920	setb
ENSDARG00000033655	stmn1b
ENSDARG00000019902	rcvrn2
ENSDARG00000021811	unknown
ENSDARG00000030479	hmgb1b
ENSDARG00000014196	myl1
ENSDARG00000070835	tnnc2
ENSDARG00000020693	sesn1
ENSDARG00000025147	cd63
ENSDARG00000031495	seta
ENSDARG00000019702	aldocb
ENSDARG00000006497	rtn1a
ENSDARG00000004621	gpm6ab
ENSDARG00000003952	pfn2
ENSDARG00000080337	unknown
ENSDARG00000039914	gapdhs
ENSDARG00000099175	hmgb1a
ENSDARG00000052578	unknown
ENSDARG00000068434	unknown
ENSDARG00000054058	h1-10
ENSDARG00000035715	marcksl1b
ENSDARG00000068995	h2ax1
ENSDARG00000040287	ywhabl
ENSDARG00000076532	si:ch211-222l21.1
ENSDARG00000095451	unknown
ENSDARG00000038559	h1-0
ENSDARG00000116491	h2az2b
ENSDARG00000104181	tmsb1
ENSDARG00000098475	arr3b
ENSDARG00000053990	hmgb2b
ENSDARG00000001950	ak1
ENSDARG00000103687	unknown
ENSDARG00000087636	unknown
ENSDARG00000002344	tubb4b
ENSDARG00000098591	unknown
ENSDARG00000035327	ckma
ENSDARG00000068457	tnnt3b
ENSDARG00000102632	ubc
ENSDARG00000045835	unknown
ENSDARG00000040439	rsl24d1
ENSDARG00000043257	ckbb
ENSDARG00000060350	unknown
ENSDARG00000029722	hmgb2a
ENSDARG00000037870	actb2
ENSDARG00000103672	cirbpa
ENSDARG00000028335	hmga1a
ENSDARG00000088091	pfn1
ENSDARG00000037746	actb1
ENSDARG00000036161	unknown
ENSDARG00000053291	pnrc2
ENSDARG00000068680	ctrl
ENSDARG00000039730	unknown
ENSDARG00000056511	arr3a
ENSDARG00000099776	glula
ENSDARG00000056744	ela2
ENSDARG00000031317	ppdpfb
ENSDARG00000062326	unknown
ENSDARG00000021124	cfl1
ENSDARG00000033009	unknown
ENSDARG00000103919	unknown
ENSDARG00000021339	cpa5
ENSDARG00000052856	khdrbs1a
ENSDARG00000093844	unknown
ENSDARG00000007697	fabp7a
ENSDARG00000007960	hnrnpaba
ENSDARG00000029069	tnni2a.4
ENSDARG00000007276	ela3l
ENSDARG00000013351	cirbpb
ENSDARG00000056765	ela2l
ENSDARG00000099195	ier2a
ENSDARG00000097102	si:ch73-281n10.2
ENSDARG00000045248	unknown
ENSDARG00000099572	unknown
ENSDARG00000033683	tpma
ENSDARG00000035519	histh1l
ENSDARG00000017441	mylz3
ENSDARG00000021113	ptmaa
ENSDARG00000045677	opn1sw1
ENSDARG00000103543	gngt2b
ENSDARG00000099970	unknown
ENSDARG00000036830	krt91
ENSDARG00000077777	tmsb4x
ENSDARG00000079274	prss59.1
ENSDARG00000101766	ptmab
ENSDARG00000073742	unknown
ENSDARG00000037789	pvalb1
ENSDARG00000053254	mylpfa
ENSDARG00000099197	actc1b
ENSDARG00000017314	cela1.6
ENSDARG00000102558	pde6ha
ENSDARG00000042993	prss1
ENSDARG00000002768	pvalb2
ENSDARG00000090428	ctrb1
ENSDARG00000055514	icn2
ENSDARG00000017624	krt4
ENSDARG00000036832	unknown
ENSDARG00000103498	epd
ENSDARG00000044684	rbp4l
ENSDARG00000094041	krt17
ENSDARG00000002193	rho
ENSDARG00000089475	unknown
ENSDARG00000115405	unknown
ENSDARG00000045143	hbbe2
ENSDARG00000087390	unknown
ENSDARG00000079305	hbae3
ENSDARG00000113599	hbbe1.1
